Census year,males 0-4 years,females 0-4 years,total 0-4 years,males 5-9 years,females 5-9 years,total 5-9 years,males 10-14 years, females 10-14 years,total 10-14 years,males 5-14 years,females 5-14 years,total 5-14 years,males 15-19 years,females 15-19 years,total 15-19 years,males 20-24 years,females 20-24 years,total 20-24 years,male 25-29 years,female 25-29 years,total 25-29 years,male 30-34 years,female 30-34 years,total 30-34_years,males 25-34 years,female  25-34 years,total 25-34 years,male 35-39 years,female 35-39 years,total 35-39years,male 40-44 years,female 40-44 years,total 40-44 years,male 35-44 years,female 35-44 years,total 35-44 years,male 45-49 years,female 45-49 years,total 45-49 years,male 50-54 years,female 50-54 years,total 50-54_years,male 45-54 years,female 45-54 years,total 45-54 years,male 55-59 years,female 55-59 years,total 55-59_years,male 60-64 years,female 60-64 years,total 60-64_years,male 65-69 years,female 65-69 years,total 65-69_years,male 65 + years,female 65 + years,total 65 and over,male 70-74 years,female 70-74 years,total 70-74_years,male 70+ years,female 70+ years,total 70+ years,male 75-79 years,female 75-79 years,total 75-79_years,male 75+ years,female 75+ years,total 75+ years,male 80-84 years,female 80-84 years,total 80-84_years,male 85-89 years,female 85-89 years,total 85-89_years,male 90-94 years,female 90-94 years,total 90-94_years,male 95-99 years,female 95-99 years,total 95-99_years,male 100+ years,female 100+ years,100+ years,not stated,total males,total females,total persons,intercensal growth
1891,238,242,480,193,186,379,152,194,346,,,,112,85,197,176,133,309,205,126,331,162,90,252,,,,103,74,177,72,66,138,,,,65,64,129,62,43,105,,,,61,40,101,45,26,71,16,16,32,,,82,14,8,22,,,,10,12,22,,,,2,2,4,1,0,1,1,0,1,0,0,0,0,0,0,,1756,1469,3225,
1901,174,181,355,204,195,399,254,227,481,,,,212,147,359,100,155,255,100,122,222,99,110,209,,,,123,119,242,93,90,183,,,,67,52,119,49,49,98,,,,41,43,84,39,36,75,36,32,68,,,141,22,21,43,,,,10,9,19,,,,4,3,7,2,2,4,0,0,0,0,0,0,0,0,0,,1629,1593,3222,-3
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,924,911,1835,900,969,1869,757,773,1530,,,,570,579,1149,439,581,1020,497,606,1103,674,728,1402,,,,570,617,1187,523,495,1018,,,,367,354,721,272,266,538,,,,250,244,494,190,211,401,114,136,250,,,550,58,82,140,,,,50,42,92,,,,19,30,49,6,8,14,1,4,5,0,0,0,0,0,0,37,7191,7663,14854,11632
1933,1311,1186,2497,1488,1492,2980,1276,1486,2762,,,,1023,1350,2373,934,1149,2083,922,1018,1940,939,1073,2012,,,,1027,1099,2126,918,1048,1966,,,,716,937,1653,462,710,1172,,,,365,478,843,304,436,740,209,344,553,,,1525,105,275,380,,,,37,141,178,,,,15,60,75,4,24,28,0,6,6,0,1,1,0,0,0,15,13533,14328,27861,13007
1947,1851,1771,3622,1537,1466,3003,1338,1239,2577,,,,1479,1418,2897,1494,1481,2975,1312,1514,2826,1422,1516,2938,,,,1350,1379,2729,1132,1209,2341,,,,1033,1144,2177,922,1113,2035,,,,931,985,1916,723,808,1531,487,588,1075,,,2575,293,377,670,,,,189,287,476,,,,96,145,241,39,56,95,7,9,16,0,2,2,0,0,0,,17772,18646,36418,8557
1954,2910,2730,5640,2992,2892,5884,2226,2067,4293,,,,1712,1650,3362,1562,1512,3074,1855,2091,3946,2278,2457,4735,,,,2159,2306,4465,2066,1984,4050,,,,1615,1592,3207,1308,1394,2702,,,,1072,1255,2327,960,1223,2183,807,1005,1812,,,4233,1000,1421,2421,,,,,,,,,,,,,,,,,,,,,,,,,,26522,27579,54101,17683
1961,3909,3700,7609,3900,3716,7616,3930,3788,7718,,,,3033,2811,5844,2184,2080,4264,2094,2217,4311,2784,2960,5744,,,,3156,3336,6492,2807,2800,5607,,,,2586,2565,5151,2013,1960,3973,,,,1501,1522,3023,1095,1431,2526,857,1187,2044,,,5690,711,1035,1746,,,,459,663,1122,,,,160,354,514,70,136,206,13,39,52,2,4,6,0,0,0,,37264,38304,75568,21467
1966,3712,3490,7202,3980,3772,7752,4054,3840,7894,,,,4079,3727,7806,2702,2508,5210,2127,2222,4349,2244,2361,4605,,,,2873,3055,5928,3215,3365,6580,,,,2762,2799,5561,2533,2551,5084,,,,1895,1881,3776,1363,1506,2869,2538,4137,6675,,,6675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40077,41214,81291,5723
1971,3370,3354,6724,3772,3632,7404,4151,3910,8061,,,,4102,4013,8115,4309,4128,8437,3149,2969,6118,2599,2560,5159,,,,2499,2559,5058,2943,3147,6090,,,,3214,3393,6607,2712,2800,5512,,,,2379,2377,4756,1688,1799,3487,1085,1346,2431,,,"7,278",1552,3295,4847,,,,,,,,,,,,,,,,,,,,,,,,,,43524,45282,88806,7515
1976,3246,3087,6333,3027,2995,6022,3487,3370,6857,,,,4083,4052,8135,4514,4465,8979,4080,3720,7800,2887,2745,5632,,,,2378,2368,4746,2383,2471,4854,,,,2846,3008,5854,2876,3124,6000,,,,2446,2567,5013,2034,2230,4264,,,,3074,5200,"8,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,43361,45402,88763,-43
2021,2764,2687,5451,2972,2692,5664,2955,2869,5824,,,,3678,3699,7377,4858,4813,9671,4175,3905,8080,3676,3357,7033,,,,2664,2662,5326,2303,2440,4743,,,,2394,2375,4769,2674,2902,5576,,,,2679,2861,5540,2021,2270,4291,1573,1966,3539,,,9603,1031,1510,2541,,,,,,,1044,2479,3523,,,,,,,,,,,,,,,,,43461,45487,88948,185
1986,2853,2775,5628,,,,,,,5445,5058,10503,3157,3214,6371,4250,4424,8675,,,,,,,8102,7935,16037,,,,,,,6101,5976,12077,,,,,,,4591,4660,9251,2437,2592,5029,2243,2579,4822,1645,2069,3714,,,10859,,,,2562,4583,7145,,,,,,,,,,,,,,,,,,,,,,,43386,45866,89252,304
1991,2952,2830,5782,2610,2531,5141,2565,2435,5000,,,,3070,2879,5949,3746,3961,7707,4167,4044,8211,4114,4149,8263,,,,3561,3521,7082,3274,3252,6526,,,,2513,2548,5061,2156,2225,4381,,,,2007,2047,4054,2028,2327,4355,1839,2292,4131,,,"12,212",1360,1805,3165,,,,947,1510,2457,,,,443,949,"1,392",184,492,676,47,278,325,,,,,,,,43814,46383,90197,945
